/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 9.861923217773438, acc1 is 5.46875, acc5 is 19.62890625, cma_loss is 9.270366668701172, uma_loss is 0.5915562510490417
loss is 9.907062530517578, acc1 is 5.859375, acc5 is 19.921875, cma_loss is 9.368104934692383, uma_loss is 0.5389580726623535
loss is 9.934792518615723, acc1 is 5.46875, acc5 is 19.43359375, cma_loss is 9.36494255065918, uma_loss is 0.5698496103286743
loss is 9.733418464660645, acc1 is 5.95703125, acc5 is 20.8984375, cma_loss is 9.183204650878906, uma_loss is 0.5502141118049622
loss is 9.574381828308105, acc1 is 5.95703125, acc5 is 20.5078125, cma_loss is 9.046171188354492, uma_loss is 0.5282106399536133
loss is 9.554047584533691, acc1 is 6.0546875, acc5 is 22.8515625, cma_loss is 9.013484954833984, uma_loss is 0.540562629699707
loss is 9.707807540893555, acc1 is 6.25, acc5 is 19.53125, cma_loss is 9.153482437133789, uma_loss is 0.5543254613876343
loss is 9.830560684204102, acc1 is 4.98046875, acc5 is 19.53125, cma_loss is 9.25689697265625, uma_loss is 0.5736641883850098
loss is 9.634462356567383, acc1 is 5.46875, acc5 is 21.09375, cma_loss is 9.079158782958984, uma_loss is 0.5553038716316223
loss is 9.632255554199219, acc1 is 5.56640625, acc5 is 20.1171875, cma_loss is 9.075387954711914, uma_loss is 0.556867241859436
loss is 9.660853385925293, acc1 is 5.56640625, acc5 is 19.53125, cma_loss is 9.130456924438477, uma_loss is 0.5303964614868164
loss is 9.563468933105469, acc1 is 6.25, acc5 is 22.55859375, cma_loss is 9.03310775756836, uma_loss is 0.5303616523742676
loss is 9.569106101989746, acc1 is 6.54296875, acc5 is 22.75390625, cma_loss is 9.046468734741211, uma_loss is 0.5226369500160217
loss is 9.648242950439453, acc1 is 6.15234375, acc5 is 22.36328125, cma_loss is 9.125274658203125, uma_loss is 0.5229681134223938
loss is 9.329004287719727, acc1 is 6.73828125, acc5 is 26.46484375, cma_loss is 8.82579231262207, uma_loss is 0.503212034702301
loss is 9.513015747070312, acc1 is 7.32421875, acc5 is 23.2421875, cma_loss is 9.023401260375977, uma_loss is 0.4896147847175598
loss is 9.435965538024902, acc1 is 6.93359375, acc5 is 20.99609375, cma_loss is 8.913473129272461, uma_loss is 0.5224922895431519
loss is 9.238627433776855, acc1 is 7.421875, acc5 is 24.51171875, cma_loss is 8.734529495239258, uma_loss is 0.5040978193283081
loss is 9.399988174438477, acc1 is 6.73828125, acc5 is 23.92578125, cma_loss is 8.903299331665039, uma_loss is 0.49668872356414795
loss is 9.251982688903809, acc1 is 7.12890625, acc5 is 24.51171875, cma_loss is 8.684398651123047, uma_loss is 0.5675841569900513
loss is 9.513612747192383, acc1 is 5.56640625, acc5 is 21.875, cma_loss is 8.963600158691406, uma_loss is 0.5500127673149109
loss is 9.433253288269043, acc1 is 7.8125, acc5 is 22.8515625, cma_loss is 8.917043685913086, uma_loss is 0.5162091851234436
loss is 9.152678489685059, acc1 is 8.59375, acc5 is 25.68359375, cma_loss is 8.637784957885742, uma_loss is 0.5148934125900269
loss is 9.4476957321167, acc1 is 6.640625, acc5 is 24.12109375, cma_loss is 8.906620979309082, uma_loss is 0.5410746932029724
loss is 9.608637809753418, acc1 is 6.4453125, acc5 is 23.53515625, cma_loss is 9.07296371459961, uma_loss is 0.5356742739677429
loss is 9.3598051071167, acc1 is 6.54296875, acc5 is 25.0, cma_loss is 8.826613426208496, uma_loss is 0.5331916809082031
loss is 9.457368850708008, acc1 is 6.15234375, acc5 is 24.0234375, cma_loss is 8.93034553527832, uma_loss is 0.5270235538482666
loss is 9.085526466369629, acc1 is 9.47265625, acc5 is 27.9296875, cma_loss is 8.575454711914062, uma_loss is 0.5100718140602112
loss is 9.352238655090332, acc1 is 7.32421875, acc5 is 25.0, cma_loss is 8.811023712158203, uma_loss is 0.541214644908905
loss is 9.240706443786621, acc1 is 9.1796875, acc5 is 26.5625, cma_loss is 8.708162307739258, uma_loss is 0.5325444936752319
loss is 9.116941452026367, acc1 is 8.0078125, acc5 is 26.07421875, cma_loss is 8.63304328918457, uma_loss is 0.48389843106269836
loss is 9.253293991088867, acc1 is 7.421875, acc5 is 23.2421875, cma_loss is 8.785042762756348, uma_loss is 0.4682513475418091
loss is 9.41669750213623, acc1 is 6.93359375, acc5 is 23.2421875, cma_loss is 8.87948989868164, uma_loss is 0.5372079610824585
loss is 9.307400703430176, acc1 is 9.765625, acc5 is 23.53515625, cma_loss is 8.770498275756836, uma_loss is 0.536902666091919
loss is 9.122438430786133, acc1 is 7.03125, acc5 is 26.26953125, cma_loss is 8.636913299560547, uma_loss is 0.4855250120162964
loss is 9.272099494934082, acc1 is 7.8125, acc5 is 25.5859375, cma_loss is 8.758681297302246, uma_loss is 0.5134181976318359
loss is 9.090987205505371, acc1 is 7.6171875, acc5 is 26.26953125, cma_loss is 8.6478271484375, uma_loss is 0.443159818649292
loss is 9.251504898071289, acc1 is 7.6171875, acc5 is 25.87890625, cma_loss is 8.759160995483398, uma_loss is 0.4923442602157593
loss is 9.014681816101074, acc1 is 7.8125, acc5 is 26.7578125, cma_loss is 8.493091583251953, uma_loss is 0.5215906500816345
loss is 9.312300682067871, acc1 is 7.51953125, acc5 is 23.6328125, cma_loss is 8.804985046386719, uma_loss is 0.5073155760765076
loss is 9.194619178771973, acc1 is 8.69140625, acc5 is 26.07421875, cma_loss is 8.713354110717773, uma_loss is 0.48126542568206787
loss is 9.077059745788574, acc1 is 8.984375, acc5 is 28.02734375, cma_loss is 8.558910369873047, uma_loss is 0.5181493759155273
loss is 9.09111499786377, acc1 is 7.6171875, acc5 is 27.1484375, cma_loss is 8.594558715820312, uma_loss is 0.49655598402023315
