/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:307: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/home/lijun/anaconda3/envs/ecg/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:1617: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be deprecated in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                              | 0/703 [00:00<?, ?it/s]
loss is 13.200180053710938, acc1 is 1.26953125, acc5 is 4.833984375, cma_loss is 11.790451049804688, uma_loss is 1.4097288846969604
loss is 13.918854713439941, acc1 is 0.87890625, acc5 is 3.80859375, cma_loss is 12.485513687133789, uma_loss is 1.4333407878875732
loss is 13.696447372436523, acc1 is 0.9765625, acc5 is 3.90625, cma_loss is 12.226404190063477, uma_loss is 1.4700427055358887
loss is 13.252405166625977, acc1 is 1.171875, acc5 is 4.98046875, cma_loss is 11.853954315185547, uma_loss is 1.398451328277588
loss is 13.533884048461914, acc1 is 0.732421875, acc5 is 3.564453125, cma_loss is 12.167379379272461, uma_loss is 1.366504430770874
loss is 13.172079086303711, acc1 is 1.171875, acc5 is 4.6875, cma_loss is 11.805252075195312, uma_loss is 1.366827130317688
loss is 13.37459945678711, acc1 is 0.87890625, acc5 is 3.857421875, cma_loss is 11.964042663574219, uma_loss is 1.410556435585022
loss is 13.164669036865234, acc1 is 1.318359375, acc5 is 4.541015625, cma_loss is 11.803865432739258, uma_loss is 1.3608038425445557
loss is 13.05533218383789, acc1 is 1.123046875, acc5 is 5.95703125, cma_loss is 11.686117172241211, uma_loss is 1.3692150115966797
loss is 13.129334449768066, acc1 is 1.318359375, acc5 is 5.126953125, cma_loss is 11.797357559204102, uma_loss is 1.3319765329360962
loss is 13.064790725708008, acc1 is 0.732421875, acc5 is 5.517578125, cma_loss is 11.727323532104492, uma_loss is 1.3374676704406738
loss is 13.211183547973633, acc1 is 1.26953125, acc5 is 5.712890625, cma_loss is 11.845560073852539, uma_loss is 1.3656238317489624
loss is 12.942529678344727, acc1 is 1.953125, acc5 is 6.15234375, cma_loss is 11.650901794433594, uma_loss is 1.2916277647018433
loss is 12.927295684814453, acc1 is 1.26953125, acc5 is 5.56640625, cma_loss is 11.609676361083984, uma_loss is 1.3176196813583374
loss is 12.812039375305176, acc1 is 1.416015625, acc5 is 6.103515625, cma_loss is 11.518165588378906, uma_loss is 1.2938734292984009
loss is 12.762788772583008, acc1 is 1.5625, acc5 is 6.15234375, cma_loss is 11.459758758544922, uma_loss is 1.3030303716659546
loss is 12.63453483581543, acc1 is 1.708984375, acc5 is 6.884765625, cma_loss is 11.35788631439209, uma_loss is 1.2766480445861816
loss is 12.582317352294922, acc1 is 1.85546875, acc5 is 7.2265625, cma_loss is 11.334024429321289, uma_loss is 1.2482932806015015
loss is 12.615059852600098, acc1 is 1.513671875, acc5 is 6.396484375, cma_loss is 11.353715896606445, uma_loss is 1.2613439559936523
loss is 12.61789608001709, acc1 is 1.171875, acc5 is 6.640625, cma_loss is 11.334505081176758, uma_loss is 1.283390760421753
loss is 12.603426933288574, acc1 is 2.34375, acc5 is 7.666015625, cma_loss is 11.333587646484375, uma_loss is 1.2698391675949097
loss is 12.609811782836914, acc1 is 1.611328125, acc5 is 7.12890625, cma_loss is 11.351476669311523, uma_loss is 1.2583351135253906
loss is 12.652271270751953, acc1 is 1.416015625, acc5 is 7.177734375, cma_loss is 11.394121170043945, uma_loss is 1.2581498622894287
loss is 12.41630744934082, acc1 is 1.416015625, acc5 is 7.03125, cma_loss is 11.194019317626953, uma_loss is 1.222287654876709
loss is 12.562021255493164, acc1 is 2.24609375, acc5 is 8.251953125, cma_loss is 11.311996459960938, uma_loss is 1.2500249147415161
loss is 12.4913330078125, acc1 is 2.099609375, acc5 is 7.91015625, cma_loss is 11.270647048950195, uma_loss is 1.220686435699463
loss is 12.493042945861816, acc1 is 1.7578125, acc5 is 6.591796875, cma_loss is 11.296083450317383, uma_loss is 1.1969594955444336
loss is 12.337526321411133, acc1 is 2.001953125, acc5 is 9.130859375, cma_loss is 11.12584114074707, uma_loss is 1.211685299873352
loss is 12.2720365524292, acc1 is 2.099609375, acc5 is 8.544921875, cma_loss is 11.05313491821289, uma_loss is 1.2189016342163086
loss is 12.308507919311523, acc1 is 1.5625, acc5 is 7.275390625, cma_loss is 11.111366271972656, uma_loss is 1.197141408920288
loss is 12.242608070373535, acc1 is 2.1484375, acc5 is 9.814453125, cma_loss is 11.028125762939453, uma_loss is 1.2144824266433716
loss is 12.156940460205078, acc1 is 2.001953125, acc5 is 10.44921875, cma_loss is 10.994226455688477, uma_loss is 1.162713646888733
loss is 12.183453559875488, acc1 is 1.7578125, acc5 is 8.935546875, cma_loss is 11.005477905273438, uma_loss is 1.1779760122299194
loss is 12.175237655639648, acc1 is 1.806640625, acc5 is 8.447265625, cma_loss is 11.024049758911133, uma_loss is 1.1511882543563843
loss is 11.963253021240234, acc1 is 2.1484375, acc5 is 8.88671875, cma_loss is 10.814834594726562, uma_loss is 1.148418664932251
loss is 12.020746231079102, acc1 is 2.099609375, acc5 is 9.47265625, cma_loss is 10.88614273071289, uma_loss is 1.1346033811569214
loss is 12.195951461791992, acc1 is 2.197265625, acc5 is 8.837890625, cma_loss is 11.09022331237793, uma_loss is 1.105728268623352
loss is 12.1681489944458, acc1 is 1.66015625, acc5 is 9.033203125, cma_loss is 11.110841751098633, uma_loss is 1.0573070049285889
loss is 12.145261764526367, acc1 is 2.34375, acc5 is 9.228515625, cma_loss is 11.06839370727539, uma_loss is 1.0768682956695557
loss is 11.89134407043457, acc1 is 2.392578125, acc5 is 10.205078125, cma_loss is 10.82597541809082, uma_loss is 1.0653687715530396
loss is 12.408376693725586, acc1 is 1.85546875, acc5 is 7.32421875, cma_loss is 11.342748641967773, uma_loss is 1.0656278133392334
loss is 12.472702026367188, acc1 is 1.904296875, acc5 is 7.32421875, cma_loss is 11.324382781982422, uma_loss is 1.1483194828033447
loss is 12.52043628692627, acc1 is 1.5625, acc5 is 7.12890625, cma_loss is 11.44802474975586, uma_loss is 1.072411298751831
loss is 12.326624870300293, acc1 is 2.1484375, acc5 is 9.5703125, cma_loss is 11.253519058227539, uma_loss is 1.0731055736541748
loss is 12.35254955291748, acc1 is 1.7578125, acc5 is 8.154296875, cma_loss is 11.152828216552734, uma_loss is 1.1997212171554565
loss is 12.168142318725586, acc1 is 2.783203125, acc5 is 9.47265625, cma_loss is 11.078548431396484, uma_loss is 1.0895936489105225
loss is 12.142760276794434, acc1 is 1.806640625, acc5 is 9.27734375, cma_loss is 11.005708694458008, uma_loss is 1.1370512247085571
loss is 11.917076110839844, acc1 is 1.513671875, acc5 is 8.10546875, cma_loss is 10.915945053100586, uma_loss is 1.0011305809020996
loss is 11.834851264953613, acc1 is 2.5390625, acc5 is 11.03515625, cma_loss is 10.747501373291016, uma_loss is 1.0873496532440186
loss is 11.850685119628906, acc1 is 2.685546875, acc5 is 10.44921875, cma_loss is 10.839866638183594, uma_loss is 1.0108184814453125
loss is 11.614809036254883, acc1 is 2.978515625, acc5 is 12.060546875, cma_loss is 10.559667587280273, uma_loss is 1.0551419258117676
loss is 11.696954727172852, acc1 is 2.83203125, acc5 is 10.546875, cma_loss is 10.718587875366211, uma_loss is 0.9783672094345093
loss is 11.72080135345459, acc1 is 2.83203125, acc5 is 10.498046875, cma_loss is 10.69633674621582, uma_loss is 1.0244643688201904
loss is 11.680716514587402, acc1 is 2.685546875, acc5 is 11.03515625, cma_loss is 10.712026596069336, uma_loss is 0.968690037727356
loss is 11.500646591186523, acc1 is 3.02734375, acc5 is 11.083984375, cma_loss is 10.579557418823242, uma_loss is 0.9210891723632812
loss is 11.359272003173828, acc1 is 2.880859375, acc5 is 12.6953125, cma_loss is 10.410563468933105, uma_loss is 0.9487085342407227
loss is 11.49514389038086, acc1 is 2.44140625, acc5 is 10.9375, cma_loss is 10.606121063232422, uma_loss is 0.8890228867530823
loss is 11.371078491210938, acc1 is 2.880859375, acc5 is 12.6953125, cma_loss is 10.459672927856445, uma_loss is 0.9114053249359131
