/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 10.699172973632812, acc1 is 3.61328125, acc5 is 12.59765625, cma_loss is 9.878561019897461, uma_loss is 0.8206119537353516
loss is 10.703740119934082, acc1 is 4.4921875, acc5 is 14.0625, cma_loss is 9.89682388305664, uma_loss is 0.8069165349006653
loss is 10.466741561889648, acc1 is 4.296875, acc5 is 17.7734375, cma_loss is 9.698429107666016, uma_loss is 0.7683122754096985
loss is 10.737732887268066, acc1 is 4.00390625, acc5 is 13.28125, cma_loss is 9.90096664428711, uma_loss is 0.8367663621902466
loss is 10.75333309173584, acc1 is 2.63671875, acc5 is 13.57421875, cma_loss is 9.923503875732422, uma_loss is 0.829829216003418
loss is 10.461240768432617, acc1 is 4.39453125, acc5 is 15.0390625, cma_loss is 9.66461181640625, uma_loss is 0.7966289520263672
loss is 10.632040023803711, acc1 is 3.3203125, acc5 is 15.91796875, cma_loss is 9.814178466796875, uma_loss is 0.8178615570068359
loss is 10.416496276855469, acc1 is 4.78515625, acc5 is 16.89453125, cma_loss is 9.669755935668945, uma_loss is 0.7467398643493652
loss is 10.468852996826172, acc1 is 4.8828125, acc5 is 16.796875, cma_loss is 9.671356201171875, uma_loss is 0.7974964380264282
loss is 10.507424354553223, acc1 is 3.515625, acc5 is 17.578125, cma_loss is 9.657190322875977, uma_loss is 0.850233793258667
loss is 10.079721450805664, acc1 is 4.8828125, acc5 is 18.5546875, cma_loss is 9.335189819335938, uma_loss is 0.7445317506790161
loss is 10.333035469055176, acc1 is 5.859375, acc5 is 20.21484375, cma_loss is 9.495161056518555, uma_loss is 0.8378740549087524
loss is 10.504794120788574, acc1 is 4.78515625, acc5 is 16.11328125, cma_loss is 9.746129989624023, uma_loss is 0.7586644887924194
loss is 10.257916450500488, acc1 is 4.39453125, acc5 is 19.140625, cma_loss is 9.48408317565918, uma_loss is 0.7738328576087952
loss is 10.103707313537598, acc1 is 4.4921875, acc5 is 19.921875, cma_loss is 9.368946075439453, uma_loss is 0.7347609996795654
loss is 10.54012393951416, acc1 is 4.4921875, acc5 is 15.33203125, cma_loss is 9.753238677978516, uma_loss is 0.7868853807449341
loss is 10.279006958007812, acc1 is 3.41796875, acc5 is 16.796875, cma_loss is 9.574098587036133, uma_loss is 0.7049084901809692
loss is 10.512602806091309, acc1 is 4.19921875, acc5 is 16.30859375, cma_loss is 9.730716705322266, uma_loss is 0.7818865180015564
loss is 10.124940872192383, acc1 is 5.56640625, acc5 is 19.7265625, cma_loss is 9.363370895385742, uma_loss is 0.7615703344345093
loss is 10.227044105529785, acc1 is 5.2734375, acc5 is 17.87109375, cma_loss is 9.497753143310547, uma_loss is 0.7292909622192383
loss is 10.127299308776855, acc1 is 4.98046875, acc5 is 19.62890625, cma_loss is 9.420969009399414, uma_loss is 0.706330418586731
loss is 10.138811111450195, acc1 is 6.0546875, acc5 is 17.87109375, cma_loss is 9.427345275878906, uma_loss is 0.7114654779434204
loss is 9.999137878417969, acc1 is 5.2734375, acc5 is 17.7734375, cma_loss is 9.291959762573242, uma_loss is 0.7071776390075684
loss is 10.133415222167969, acc1 is 3.90625, acc5 is 16.9921875, cma_loss is 9.455358505249023, uma_loss is 0.6780562400817871
loss is 10.141977310180664, acc1 is 5.078125, acc5 is 18.26171875, cma_loss is 9.462141990661621, uma_loss is 0.6798350811004639
loss is 10.026435852050781, acc1 is 4.58984375, acc5 is 17.28515625, cma_loss is 9.314048767089844, uma_loss is 0.7123875617980957
loss is 10.122127532958984, acc1 is 4.296875, acc5 is 15.234375, cma_loss is 9.449556350708008, uma_loss is 0.6725715398788452
loss is 9.89099407196045, acc1 is 6.34765625, acc5 is 19.23828125, cma_loss is 9.252498626708984, uma_loss is 0.6384950876235962
loss is 9.863656044006348, acc1 is 7.12890625, acc5 is 21.484375, cma_loss is 9.22249984741211, uma_loss is 0.6411563158035278
loss is 9.94643783569336, acc1 is 5.2734375, acc5 is 18.359375, cma_loss is 9.301015853881836, uma_loss is 0.6454218626022339
loss is 9.855061531066895, acc1 is 4.8828125, acc5 is 21.484375, cma_loss is 9.199806213378906, uma_loss is 0.655255138874054
loss is 9.820548057556152, acc1 is 6.54296875, acc5 is 20.60546875, cma_loss is 9.204730987548828, uma_loss is 0.6158167123794556
loss is 9.934944152832031, acc1 is 4.296875, acc5 is 19.140625, cma_loss is 9.28854751586914, uma_loss is 0.646397054195404
loss is 9.798192977905273, acc1 is 5.95703125, acc5 is 21.97265625, cma_loss is 9.195981979370117, uma_loss is 0.6022112965583801
loss is 9.925454139709473, acc1 is 4.98046875, acc5 is 19.53125, cma_loss is 9.331336975097656, uma_loss is 0.5941171646118164
loss is 9.784721374511719, acc1 is 5.95703125, acc5 is 20.60546875, cma_loss is 9.175329208374023, uma_loss is 0.6093924641609192
loss is 9.75880241394043, acc1 is 5.46875, acc5 is 20.80078125, cma_loss is 9.184789657592773, uma_loss is 0.5740125775337219
loss is 9.650251388549805, acc1 is 7.32421875, acc5 is 22.65625, cma_loss is 9.002555847167969, uma_loss is 0.6476958394050598
loss is 9.824682235717773, acc1 is 5.078125, acc5 is 19.140625, cma_loss is 9.235252380371094, uma_loss is 0.5894294381141663
loss is 9.747458457946777, acc1 is 5.95703125, acc5 is 21.58203125, cma_loss is 9.133695602416992, uma_loss is 0.6137628555297852
loss is 9.802157402038574, acc1 is 5.46875, acc5 is 19.7265625, cma_loss is 9.176973342895508, uma_loss is 0.6251842379570007
loss is 9.702242851257324, acc1 is 5.859375, acc5 is 19.7265625, cma_loss is 9.128893852233887, uma_loss is 0.5733492374420166
loss is 9.5804443359375, acc1 is 5.859375, acc5 is 23.046875, cma_loss is 9.011739730834961, uma_loss is 0.5687045454978943
loss is 9.650955200195312, acc1 is 5.6640625, acc5 is 20.5078125, cma_loss is 9.099367141723633, uma_loss is 0.5515879988670349
loss is 9.535347938537598, acc1 is 7.421875, acc5 is 24.0234375, cma_loss is 8.977449417114258, uma_loss is 0.5578989386558533
loss is 9.572090148925781, acc1 is 6.54296875, acc5 is 21.19140625, cma_loss is 9.012648582458496, uma_loss is 0.5594417452812195
loss is 9.53823471069336, acc1 is 6.34765625, acc5 is 21.77734375, cma_loss is 8.99516487121582, uma_loss is 0.5430701375007629
loss is 9.561650276184082, acc1 is 6.73828125, acc5 is 21.875, cma_loss is 9.040790557861328, uma_loss is 0.5208601355552673
loss is 9.434473991394043, acc1 is 7.2265625, acc5 is 22.55859375, cma_loss is 8.874963760375977, uma_loss is 0.5595104098320007
loss is 9.383223533630371, acc1 is 6.25, acc5 is 23.14453125, cma_loss is 8.83865737915039, uma_loss is 0.5445663332939148
loss is 9.590127944946289, acc1 is 7.03125, acc5 is 22.265625, cma_loss is 9.047111511230469, uma_loss is 0.5430168509483337
loss is 9.332738876342773, acc1 is 6.8359375, acc5 is 25.390625, cma_loss is 8.72718620300293, uma_loss is 0.6055529713630676
loss is 9.680251121520996, acc1 is 6.0546875, acc5 is 22.0703125, cma_loss is 9.103837013244629, uma_loss is 0.5764145255088806
loss is 9.58199691772461, acc1 is 6.8359375, acc5 is 22.36328125, cma_loss is 9.036327362060547, uma_loss is 0.5456691980361938
