/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:261: DtypeWarning: Columns (18,19,20,21,22) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_dataset.py:306: DtypeWarning: Columns (17,18,19) have mixed types. Specify dtype option on import or set low_memory=False.
  self.txt_path = pd.read_csv(txt_path)
directory "../checkpoints/" existing for save checkpoint!
#########################################
Be patient..., checking checkpoint now...
Start training from 0 epoch
#########################################
training start!
/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:91: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
  0%|                                                                                                                                                                                                                                                                                                                                            | 0/21 [00:00<?, ?it/s]/data1/1shared/lijun/ecg/E-Zero/pretrain/../utils/utils_trainer.py:117: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():                                                                                                                                                                                                                                                                                                                             | 0/1406 [00:00<?, ?it/s]
loss is 12.44229793548584, acc1 is 1.46484375, acc5 is 6.4453125, cma_loss is 10.883407592773438, uma_loss is 1.5588903427124023
loss is 12.407463073730469, acc1 is 1.46484375, acc5 is 6.8359375, cma_loss is 10.832958221435547, uma_loss is 1.57450532913208
loss is 12.546998023986816, acc1 is 1.171875, acc5 is 5.17578125, cma_loss is 10.981182098388672, uma_loss is 1.5658161640167236
loss is 12.33447265625, acc1 is 1.26953125, acc5 is 5.95703125, cma_loss is 10.867591857910156, uma_loss is 1.466881275177002
loss is 12.38726806640625, acc1 is 1.26953125, acc5 is 5.2734375, cma_loss is 10.832008361816406, uma_loss is 1.555260181427002
loss is 12.265661239624023, acc1 is 1.07421875, acc5 is 7.2265625, cma_loss is 10.771492004394531, uma_loss is 1.4941692352294922
loss is 12.389638900756836, acc1 is 1.66015625, acc5 is 6.25, cma_loss is 10.983539581298828, uma_loss is 1.4060988426208496
loss is 12.218135833740234, acc1 is 1.26953125, acc5 is 7.12890625, cma_loss is 10.774486541748047, uma_loss is 1.4436497688293457
loss is 12.114981651306152, acc1 is 0.87890625, acc5 is 5.859375, cma_loss is 10.667911529541016, uma_loss is 1.4470703601837158
loss is 12.069085121154785, acc1 is 1.5625, acc5 is 7.03125, cma_loss is 10.699172973632812, uma_loss is 1.369912028312683
loss is 12.277982711791992, acc1 is 0.87890625, acc5 is 6.34765625, cma_loss is 10.863971710205078, uma_loss is 1.4140112400054932
loss is 11.922283172607422, acc1 is 1.46484375, acc5 is 7.8125, cma_loss is 10.683307647705078, uma_loss is 1.2389750480651855
loss is 12.192049980163574, acc1 is 0.78125, acc5 is 5.56640625, cma_loss is 10.854228973388672, uma_loss is 1.3378212451934814
loss is 11.977734565734863, acc1 is 2.05078125, acc5 is 7.91015625, cma_loss is 10.667987823486328, uma_loss is 1.3097463846206665
loss is 12.095234870910645, acc1 is 1.46484375, acc5 is 6.25, cma_loss is 10.834239959716797, uma_loss is 1.2609951496124268
loss is 11.972993850708008, acc1 is 1.3671875, acc5 is 8.203125, cma_loss is 10.754302978515625, uma_loss is 1.218691110610962
loss is 11.555335998535156, acc1 is 1.5625, acc5 is 8.59375, cma_loss is 10.383987426757812, uma_loss is 1.1713480949401855
